ax,ay,az
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
0.02,-0.0,-0.01
-0.4,-1.38,0.86
-1.27,-3.5,-1.39
0.98,-1.1,1.39
-0.71,-0.58,-0.7
0.11,-0.3,0.03
-0.69,-0.39,0.25
-0.3,0.02,-0.02
-0.04,0.07,-0.1
1.6,2.76,-0.12
0.36,0.25,-0.0
-0.23,-0.72,-0.27
-0.34,-0.79,-0.21
-3.46,-3.91,0.1
-1.53,-1.98,1.47
1.24,2.29,1.65
-0.55,0.49,-0.27
0.79,0.16,0.3
0.68,-0.32,-0.39
0.91,-0.3,-0.03
0.13,-0.06,-0.19
-1.54,-0.21,0.25
-1.39,-0.09,-0.33
-0.88,-1.33,1.37
0.34,-0.61,0.01
0.24,-0.98,-0.34
-1.23,-2.29,0.3
1.2,-1.41,0.48
0.15,-0.86,0.22
-2.29,2.26,-1.5
2.31,-0.25,-0.18
-0.29,-6.43,0.48
3.37,-1.85,1.93
-2.01,1.08,0.51
2.53,1.75,-3.1
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.07,2.12,-3.15
3.08,2.37,-2.95
-0.84,-0.24,1.35
2.54,-3.57,-1.8
2.21,-2.68,-0.59
0.38,-0.96,-2.3
2.16,-1.4,0.97
2.64,-1.45,1.54
1.82,-0.9,-0.74
1.82,-0.9,-0.74
1.82,-0.9,-0.74
1.82,-0.9,-0.74
1.82,-0.9,-0.74
1.82,-0.9,-0.74
1.82,-0.9,-0.74
1.92,-0.37,-3.64
2.67,0.89,-2.64
3.11,0.39,-2.27
0.3,-2.2,-2.01
